,track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,key,mode,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
49,Die For You - Remix,"Ariana Grande, The Weeknd",518745108,74,16,C#,Minor,-0.5898592895097968,0.31609199953442124,-1.1758817187651704,1.0487513346660622,-0.11002299533750347,1.7044977253563005,0.3025670172182517,0.7351995657901685,-0.32426828036718514,-2.0172776842353985,-1.444555344256285,-0.18852093383948015,-0.9988938106933223,-0.03404482747081634,-0.1352189508835078,1.6668434936892218,-0.4848831965155924
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",107753850,57,110,A#,Minor,1.2026257358937609,0.31609199953442124,-0.023922476281607527,-1.2215101210115564,-0.4240680424069809,1.2535190372442786,-0.22220740091840419,0.2974490936733419,1.0746042246777776,-0.5657652355786634,0.020446468890394698,-1.6245332683733953,-0.21796933516718506,-0.7534393252507667,-0.1352189508835078,-0.6178742368415225,-0.6585312977849064
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",177740666,213,810,G,Major,1.2026257358937609,0.31609199953442124,-0.599902097523389,-0.808735310888353,0.01931593637025763,2.6565638447039026,1.0104022788909504,1.2326432841047443,1.2300345030161066,0.2530366585353922,-0.9048178341496136,-1.3634401166399563,1.6988452865787882,-1.068174418029495,-0.1352189508835078,-0.48347907622206704,-0.8321793990542204
60,Tï¿½ï¿,"dennis, MC Kevin o Chris",111947664,73,167,B,Major,-0.5898592895097968,0.31609199953442124,-0.3119122869024982,-1.0151227159499547,-0.508458346524703,0.10101794540244442,-0.42967635692591927,-0.6377450967580606,0.1420225546478024,0.32747319436394273,1.0999214891037377,0.20311879376067854,2.053810957272487,1.17993338753285,0.1432253361331892,-0.6850718171512503,-0.6585312977849064
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",156338624,102,37,F,Major,-0.5898592895097968,0.31609199953442124,-1.1758817187651704,-1.1183164184807555,0.15431065565557328,1.4038452666149526,1.1202387850125761,0.6954040683250025,1.6963253380310943,0.4391279981067685,-0.13376424828294,1.3780379765611546,0.9889139451913906,0.055879484751677456,-0.1352189508835078,0.390089467804394,-0.6585312977849064
62,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",720434240,4,0,D,Major,1.2026257358937609,0.21575042158891,-0.023922476281607527,1.0487513346660622,-0.15482278641234362,1.3036277803678364,-0.29543173833282127,-0.9760068252119721,-0.4796985587055143,-0.7518565751500398,1.2541322062770723,0.7688206225164633,-0.5729350058608838,1.7194792608678127,-0.1352189508835078,-0.6850718171512503,-0.8321793990542204
63,BESO,"Rauw Alejandro, ROSALï¿½",357925728,182,171,F,Minor,-0.5898592895097968,0.31609199953442124,-0.8878919081442797,1.0487513346660622,-0.014023443034274575,1.8548239547269747,0.2415467360395708,1.4316207714305744,1.3854647813544358,-0.9751661826356913,0.40597326182373145,-0.05797435797276059,-0.21796933516718506,2.2590251342027754,-0.1352189508835078,-0.14749117467342815,0.12288515792700662
64,Hey Mor,"Ozuna, Feid",674072710,89,16,C#,Minor,-0.5898592895097968,0.21575042158891,1.1280367662019553,-0.808735310888353,0.07289708184182724,1.2535190372442786,0.009669667560583309,0.5959153246620873,1.2300345030161066,-0.8635113788928656,1.408342923450407,-0.6236761867285454,-0.5729350058608838,-1.068174418029495,-0.1352189508835078,-0.6178742368415225,1.4252459174468615
70,BABY HELLO,"Rauw Alejandro, Bizarrap",54266102,58,169,C#,Minor,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,0.9455576321352613,-0.46782597787542946,1.1031928078736044,-0.24661551338987656,0.6158130733946704,-0.013407723690526783,0.32747319436394273,0.40597326182373145,1.2910069259833417,1.5568590183013087,-0.3038177641382977,-0.1352189508835078,1.599645913379494,-0.6585312977849064
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1356565093,164,176,D,Major,-0.5898592895097968,0.21575042158891,0.2640673343392832,-0.808735310888353,0.6487455591460017,1.6042802391091846,0.387995410868405,0.3173468424059249,1.6963253380310943,0.2530366585353922,-0.7506071169762788,0.029056692605052448,0.7759345427751714,-1.023212261918248,0.7001139101665832,0.25569430718493846,-0.7453553484195634
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1230675890,331,154,D,Major,-0.5898592895097968,0.21575042158891,0.8400469555810646,0.8423639296044605,0.6591641152099181,1.4539540097385106,1.8768902716282194,1.1729500379069953,3.5614886780910444,0.364691462278218,-0.056658889696272655,-1.3199245913510498,-1.4248526155257608,-1.023212261918248,-0.1352189508835078,0.5244846284238496,-0.3112350952462784
78,Yandel 150,"Yandel, Feid",585695368,80,194,F#,Minor,-0.5898592895097968,0.21575042158891,1.7040163874437368,0.6359765245428588,-0.07876732714575453,1.2535190372442786,-0.18559523221119562,0.4964265809991722,1.6963253380310943,1.7417673751064027,0.48307862041039884,0.159603268471772,0.42096887208147266,-0.8433636374732605,-0.1352189508835078,-0.6178742368415225,-0.4848831965155924
