,track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,key,mode,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,is_popular
99,Double Fantasy (with Future),"The Weeknd, Future",96180277,28,0,A,Minor,-0.5898592895097968,0.3160919995344212,-0.599902097523389,0.7391702270736596,-0.4432679528676267,-0.6506132014509257,-0.3198398508042936,0.3173468424059249,-0.4796985587055143,-0.0819277526930851,-0.9048178341496136,-1.929141945395741,-0.7149212741383633,-1.023212261918248,-0.1352189508835078,2.070028975547588,-0.8321793990542204,False
100,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",104992946,0,0,A,Major,-0.5898592895097968,0.3160919995344212,-0.599902097523389,0.0168143093580537,-0.4023379111879555,-0.4501782289566937,-0.7591858752907963,-0.976006825211972,-0.4796985587055143,0.9974020168208976,1.408342923450407,0.8558516730942763,0.0660032013877739,-0.4387042324720384,-0.1352189508835078,-0.6178742368415225,0.5570054111002917,False
101,Di Que Si,"Grupo Marca Registrada, Grupo Frontera",147290338,4,37,A,Major,-0.5898592895097968,0.3160919995344212,-1.1758817187651704,-1.1183164184807557,-0.5642720397242548,-0.1495257702153456,-0.7103696503478515,0.2974490936733419,-0.1688380020288559,2.262823125906256,-1.1361339099096155,1.1169448248277154,-0.5729350058608838,-0.7084771691395197,-0.1352189508835078,-0.8866645580804337,-0.6585312977849064,False
102,Igualito a Mi ApÃ¯Â¿,"Fuerza Regida, Peso Pluma",158950978,5,4,E,Minor,-0.5898592895097968,0.21575042158891,1.7040163874437368,1.6679135498508677,-0.5778161626073459,-0.3499607427095776,-0.6615534254049068,0.6954040683250025,-0.3242682803671851,0.8857472130780716,0.3288679032370641,1.1169448248277154,0.9889139451913906,-0.2138934519158039,-0.1352189508835078,-0.8866645580804337,-0.3112350952462784,False
103,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",76910644,10,64,B,Minor,-0.5898592895097968,0.3160919995344212,-0.599902097523389,1.1519450371968631,-0.5650162223002487,-0.1996345133389036,-0.5639209755190173,0.8147905607205007,-0.4796985587055143,-0.4168921639215624,0.3288679032370641,-1.2328935407732369,0.2079894696652534,-1.023212261918248,-0.1352189508835078,1.4652507527600385,-0.5717072471502495,False
104,Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",207033255,21,0,B,Minor,1.2026257358937609,0.3160919995344212,-1.1758817187651704,-0.911929013419154,-0.3734636272393874,-0.1495257702153456,-0.7591858752907963,-0.976006825211972,-0.4796985587055143,0.3274731943639427,-0.2108696068696073,-0.7977382878841714,1.6278521524400484,-1.023212261918248,2.649223919283462,-0.2818863352928837,-0.7453553484195634,False
105,Mami Chula,"Quevedo, Jhayco",61105704,27,43,G,Minor,-0.5898592895097968,0.3160919995344212,-0.599902097523389,1.3583324422584648,-0.4870258883360752,-0.4501782289566937,-0.5517169192832811,-0.7173360916883927,-0.4796985587055143,-0.0447094847788098,0.6372893375837335,-0.928284863750891,0.2079894696652534,-0.0790069835820632,-0.1352189508835078,-0.6850718171512503,-0.7453553484195634,False
106,En Paris,"El Chachito, Junior H",198275403,2,0,D#,Minor,-0.5898592895097968,0.21575042158891,1.7040163874437368,1.0487513346660622,-0.5568302139643145,-0.4000694858331357,-0.7225737065835877,-0.3591766145018981,-0.3242682803671851,0.66243760559242,-0.13376424828294,0.986398248960996,-1.353859481387021,0.5954253580866402,-0.1352189508835078,-0.483479076222067,-0.6585312977849064,False
107,I Was Never There,"The Weeknd, Gesaffelstein",705469769,142,27,A#,Major,-0.5898592895097968,-0.1856158901931349,-0.8878919081442797,1.5647198473200663,0.006069486517564,0.1010179454024444,-0.3930641882187107,0.4168355860688401,-0.4796985587055143,-0.2680190922644614,-3.0637678745762997,-1.6245332683733953,0.4919620062202124,-0.4387042324720384,-0.1352189508835078,-0.1474911746734281,-0.8321793990542204,True
108,Don't ever say love me (feat. RM of BTS),"RM, Colde",34502215,5,0,B,Minor,-0.5898592895097968,0.3160919995344212,-0.3119122869024982,-1.0151227159499547,-0.6016300050391546,-0.6506132014509257,-0.6981655941121153,-0.7969270866187248,-0.4796985587055143,0.8857472130780716,-1.3674499856696176,-1.5375022177955824,-1.353859481387021,0.5504632019753933,-0.1352189508835078,1.1964604315211274,-0.6585312977849064,False
109,Gato de Noche,"Nengo Flow, Bad Bunny",304118600,32,0,G#,Major,-0.5898592895097968,0.21575042158891,1.7040163874437368,0.8423639296044605,-0.2226922373429984,0.8526490922558144,-0.5029006943403364,0.1183693550800946,-0.0134077236905267,-1.0123844505499666,1.3312375648637398,0.2901498443384915,-0.0759830668897055,-0.3038177641382977,-0.1352189508835078,1.1292628512113996,0.2965332591963206,True
110,Rosa Pastel,"Jasiel NuÃ¯Â¿Â½Ã¯Â¿Â½ez, Peso P",90025258,2,1,G,Minor,-0.5898592895097968,0.3160919995344212,-1.1758817187651704,-1.2215101210115564,-0.5874905360952682,-0.4501782289566937,-0.6615534254049068,0.5561198271969213,-0.3242682803671851,0.0669453189640159,-0.13376424828294,1.3780379765611546,0.0660032013877739,0.0109173286404305,-0.1352189508835078,-0.5506766565317948,-0.7453553484195634,False
111,Sunroof,"Nicky Youre, Dazy",652704649,110,0,A#,Major,-0.5898592895097968,0.1154088436433987,1.7040163874437368,-1.1183164184807557,-0.0604604357763015,0.2012354316495604,1.1446468974840485,-0.279585619571566,2.47347672972274,0.364691462278218,0.4059732618237314,1.2910069259833417,0.2789826038039931,0.5055010458641465,-0.1352189508835078,-0.2818863352928837,-0.7453553484195634,True
112,Superman,"Eminem, Dina Rae",655466831,"1,005",0,E,Minor,-0.5898592895097968,-1.791081137321315,-0.3119122869024982,1.255138739727664,0.5161322241038669,0.0509092022788864,-0.539512863047545,0.0387783601497624,-0.4796985587055143,0.3274731943639427,0.6372893375837335,0.4206964202052111,0.6339482744976919,-0.9782501058070012,-0.1352189508835078,0.0541015662557551,-0.5717072471502495,True
